프릳츠 양재점,서울 서초구 강남대로37길 24-11 서림빌딩 1층,서울 서초구 서초동 1363-10,월~금 08:00 ~ 20:30,02-521-4148,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFD11D5F80B9C491FACACA54FD4123701,https://place.map.kakao.com/554364299,127.0321962,37.48536962
태양커피,서울 서초구 서초대로25길 55 1층,서울 서초구 방배동 851-18,월~금 09:00 ~ 21:00,02-534-8180,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F02ba218d0c06bbdfea7382eb744d6bb55197d66a%3Foriginal,https://place.map.kakao.com/96877138,126.9928216,37.49019409
공미학 서초교대점,서울 서초구 서초대로48길 101 1층,서울 서초구 서초동 1564-1,월~금 08:00 ~ 22:00,02-6462-9000,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0A9F7AA339794A6C8F5968EFF7DCC936,https://place.map.kakao.com/1614713440,127.0124697,37.48862221
캐틀앤비 양재천점,서울 서초구 양재천로 131,서울 서초구 양재동 90-4,매일 09:00 ~ 23:00,02-578-2737,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBADF173E685C4E2196FC2DE555225EAB,https://place.map.kakao.com/559888657,127.0419765,37.47880153
장꼬방,서울 서초구 강남대로61길 27 1층,서울 서초구 서초동 1316,매일 09:00 ~ 22:00,02-597-5511,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F26917A7D82874210ABFDD0A5D35AD941,https://place.map.kakao.com/19232112,127.023794,37.49833603
카페토다,서울 서초구 성촌6길 39,서울 서초구 우면동 176-5,월~금 07:30 ~ 20:00,02-529-5401,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8C0BF85A25034E17B18276AA6C6C09DB,https://place.map.kakao.com/1817287702,127.0226322,37.46752779
프리퍼커피로스터스,서울 서초구 반포대로5길 4 1층,서울 서초구 서초동 1475-5,월~금 08:00 ~ 21:00,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F62A2859D3B7745A8960DAD921297EF91,https://place.map.kakao.com/1199071795,127.0114298,37.48207883
테라로사커피 예술의전당점,서울 서초구 남부순환로 2406 비타민스테이션 지하1층,서울 서초구 서초동 700,매일 08:30 ~ 21:00,1668-2764,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6A68885BB2B046DAB3D7B8DC9F44B633,https://place.map.kakao.com/178351175,127.0142152,37.4802402
카몽,서울 서초구 서초대로42길 17 1층,서울 서초구 서초동 1552-2,월~금 08:30 ~ 22:00,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F20C0E33EC3C24853BBBECC95AEF91E35,https://place.map.kakao.com/24786161,127.0089395,37.49120833
커피앳웍스 양재역점,"서울 서초구 강남대로 241 세원빌딩 내 지상 1,2층",서울 서초구 서초동 1366-5,"목,금 07:00 ~ 23:00",02-521-3178,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9BDED3D71B9D4B4EAE7C6F887B9345BA,https://place.map.kakao.com/1604364458,127.0331222,37.48497941
타르타르 강남역점,서울 서초구 강남대로61길 13 1층,서울 서초구 서초동 1317,매일 11:00 ~ 23:00,010-9497-2922,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBB1EAD270E4647C48CF0F8273B0EEE9C,https://place.map.kakao.com/1522325014,127.0255556,37.49889149
마얘,서울 서초구 사평대로22길 14 1층,서울 서초구 반포동 106-5,매일 11:30 ~ 22:00,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F73B246D05D4F40569F3968D31C6D3A45,https://place.map.kakao.com/26965232,126.9976097,37.49896045
쿠오레에스프레소,서울 서초구 강남대로 275 1층 101호,서울 서초구 서초동 1357-66,월~금 08:00 ~ 22:00,070-7750-9230,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F262332375850A5F306,https://place.map.kakao.com/61362421,127.0319862,37.48790665
스타벅스 파미에파크R점,서울 서초구 사평대로 205 센트럴시티 파미에파크돔,서울 서초구 반포동 118-3,매일 07:00 ~ 22:00,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F08BEAA1F875D494DA653E58DB96BC8B4,https://place.map.kakao.com/25502514,127.0078453,37.50449212
태양커피 서울사당점(휴업중),서울 서초구 방배천로 32 송암빌딩 1층,서울 서초구 방배동 453-33,월~금 09:00 ~ 21:00,02-522-8182,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F17673FE7BF9B4A20BC44C2C4ECCAE8E1,https://place.map.kakao.com/278752760,126.982668,37.47948014
미스터힐링 교대역점,서울 서초구 서초중앙로 111 지하1층 B01호,서울 서초구 서초동 1575-4,매일 10:00 ~ 23:00,02-582-2220,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F78E370B0B6464FB582B4D01D8DC86036,https://place.map.kakao.com/446015150,127.0137483,37.49173423
카페더나인스퀘어 강남본점,서울 서초구 서초대로77길 5 1~2층,서울 서초구 서초동 1317-14,,02-516-2657,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F77E64086AE5B4BCE8B2760126D4AFFD9,https://place.map.kakao.com/523268743,127.0263948,37.49835169
